date,nav_per_unit,short_name
03-06-22,30050.04,SSISCA
06-06-22,30379.23,SSISCA
07-06-22,30442.58,SSISCA
08-06-22,30675.55,SSISCA
09-06-22,30983.94,SSISCA
10-06-22,31064.17,SSISCA
13-06-22,30374.35,SSISCA
14-06-22,28938.61,SSISCA
15-06-22,29196.19,SSISCA
16-06-22,29067.77,SSISCA
17-06-22,29689.67,SSISCA
20-06-22,29299.14,SSISCA
21-06-22,28309.15,SSISCA
22-06-22,27908.53,SSISCA
23-06-22,27684.56,SSISCA
24-06-22,28327.84,SSISCA
27-06-22,28235.29,SSISCA
28-06-22,28569.63,SSISCA
29-06-22,28973.43,SSISCA
30-06-22,29035.97,SSISCA
01-07-22,28498.36,SSISCA
04-07-22,28552.52,SSISCA
05-07-22,28357.51,SSISCA
06-07-22,28088.09,SSISCA
07-07-22,27581.58,SSISCA
08-07-22,27699.85,SSISCA
11-07-22,27910.71,SSISCA
12-07-22,27633.29,SSISCA
13-07-22,27956.94,SSISCA
14-07-22,27948.67,SSISCA
15-07-22,28008.69,SSISCA
18-07-22,27909.26,SSISCA
19-07-22,27910.96,SSISCA
20-07-22,27776.96,SSISCA
21-07-22,28114.05,SSISCA
22-07-22,28311.75,SSISCA
25-07-22,28210.08,SSISCA
26-07-22,28008.76,SSISCA
27-07-22,27914.31,SSISCA
28-07-22,27912.08,SSISCA
29-07-22,28143.49,SSISCA
01-08-22,28060.67,SSISCA
02-08-22,28560.34,SSISCA
03-08-22,28653.7,SSISCA
04-08-22,28861.95,SSISCA
05-08-22,28980.02,SSISCA
08-08-22,28944.78,SSISCA
09-08-22,29075.69,SSISCA
10-08-22,29189.1,SSISCA
11-08-22,29096.19,SSISCA
12-08-22,28953.54,SSISCA
15-08-22,29132.98,SSISCA
16-08-22,29536.1,SSISCA
17-08-22,29731.97,SSISCA
18-08-22,29630.39,SSISCA
19-08-22,29551.8,SSISCA
22-08-22,29373.0,SSISCA
23-08-22,29478.87,SSISCA
24-08-22,29712.79,SSISCA
25-08-22,29751.63,SSISCA
26-08-22,30050.94,SSISCA
29-08-22,30125.17,SSISCA
30-08-22,30004.47,SSISCA
31-08-22,30063.77,SSISCA
05-09-22,30150.87,SSISCA
06-09-22,30074.62,SSISCA
07-09-22,30022.52,SSISCA
08-09-22,29347.08,SSISCA
09-09-22,29357.69,SSISCA
12-09-22,29561.06,SSISCA
13-09-22,29679.46,SSISCA
14-09-22,29682.38,SSISCA
15-09-22,29569.47,SSISCA
16-09-22,29542.93,SSISCA
19-09-22,29097.02,SSISCA
20-09-22,28611.02,SSISCA
21-09-22,28932.35,SSISCA
22-09-22,28692.5,SSISCA
23-09-22,28859.24,SSISCA
26-09-22,28676.98,SSISCA
27-09-22,28120.65,SSISCA
28-09-22,27975.58,SSISCA
29-09-22,27340.33,SSISCA
30-09-22,26972.7,SSISCA
03-10-22,27274.4,SSISCA
04-10-22,25912.51,SSISCA
05-10-22,25795.14,SSISCA
06-10-22,26271.53,SSISCA
07-10-22,25241.59,SSISCA
